Lat,Lon,Lat_Lon,County FIPS,County Name,Block FIPS,Block bbox,Block intersection FIPF1,Block intersection FIPF2
40.76408,-73.954926,"(40.76408, -73.954926)",36061,New York,360610116001002,"[-73.955616, 40.763428, -73.952578, 40.765545]",360610116001002,360610116001006
41.934223,-73.912331,"(41.934223, -73.912331)",36027,Dutchess,360271600052000,"[-73.915986, 41.93322, -73.908026, 41.939901]",360271600052000,360271600053009
41.196774,-73.72451,"(41.196774, -73.72451)",36119,Westchester,361190130002000,"[-73.72763, 41.194737, -73.724435, 41.198614]",361190130002000,361190130003019
41.291512,-73.893341,"(41.291512, -73.893341)",36119,Westchester,361190147014015,"[-73.89607, 41.29128, -73.889346, 41.294308]",361190147014015,361190146071007
41.717392,-73.92942,"(41.717392, -73.92942)",36027,Dutchess,360271401011014,"[-73.930873, 41.717216, -73.925437, 41.720231]",360271401011014,360271401011020
41.107639,-73.859665,"(41.107639, -73.859665)",36119,Westchester,361190118004031,"[-73.862889, 41.107245, -73.858617, 41.109365]",361190118004031,361190118004039
41.213886,-73.986,"(41.213886, -73.986)",36087,Rockland,360870106012000,"[-73.990659, 41.209338, -73.985487, 41.214996]",,
41.92643,-73.995453,"(41.92643, -73.995453)",36111,Ulster,361119519003012,"[-73.997615, 41.926064, -73.994312, 41.928352]",361119519003012,361119519004004
41.096249,-73.924957,"(41.096249, -73.924957)",36087,Rockland,360870131001009,"[-73.927489, 41.094609, -73.924693, 41.097129]",360870131001009,360870131002007
41.076408,-73.798767,"(41.076408, -73.798767)",36119,Westchester,361199810001054,"[-73.800471, 41.072668, -73.798592, 41.078153]",361199810001054,361190119022020
41.026333,-73.769585,"(41.026333, -73.769585)",36119,Westchester,361190093003002,"[-73.770495, 41.024777, -73.767737, 41.02723]",361190093003002,361190093003000
42.743382,-73.675735,"(42.743382, -73.675735)",36083,Rensselaer,360830405002003,"[-73.678256, 42.741465, -73.674852, 42.744036]",360830405002003,360830405002002
40.71722,-73.803581,"(40.71722, -73.803581)",36081,Queens,360811267002001,"[-73.808605, 40.716169, -73.803178, 40.719288]",,
40.885757,-72.380692,"(40.885757, -72.380692)",36103,Suffolk,361031908003018,"[-72.381573, 40.884176, -72.378917, 40.886167]",361031908003018,361031908003019
40.778915,-72.978035,"(40.778915, -72.978035)",36103,Suffolk,361031591021009,"[-72.978448, 40.775043, -72.972168, 40.784896]",361031591021009,361031591024000
40.933643000000004,-72.674278,"(40.933643000000004, -72.674278)",36103,Suffolk,361031699012029,"[-72.677007, 40.933343, -72.66928, 40.937501]",361031699012029,361031697043005
40.872475,-73.912773,"(40.872475, -73.912773)",36061,New York,360610297001000,"[-73.930919, 40.866743, -73.91146, 40.87757]",,
43.068096,-74.330643,"(43.068096, -74.330643)",36035,Fulton,360359710003000,"[-74.33354, 43.06802, -74.322022, 43.075597]",360359710003000,360359710003023
41.110958,-72.361282,"(41.110958, -72.361282)",36103,Suffolk,361031701012006,"[-72.362786, 41.109474, -72.36004, 41.111246]",361031701012006,361031701012007
40.649601,-73.6315,"(40.649601, -73.6315)",36059,Nassau,360594131003001,"[-73.632179, 40.647731, -73.630663, 40.64978]",,
40.941673,-73.836334,"(40.941673, -73.836334)",36119,Westchester,361190046004003,"[-73.838603, 40.941298, -73.835949, 40.943483]",361190046004003,361190046004008
40.58662,-73.965797,"(40.58662, -73.965797)",36047,Kings,360470370003004,"[-73.966614, 40.584575, -73.963442, 40.58692]",360470370003004,360470370003003
43.07869,-75.654449,"(43.07869, -75.654449)",36053,Madison,360539401032000,"[-75.701105, 43.0583, -75.640827, 43.078959]",360539401032000,360539401023024
43.229935,-75.443466,"(43.229935, -75.443466)",36065,Oneida,360650222001021,"[-75.444248, 43.227869, -75.439603, 43.231495]",360650222001021,360650222001020
43.083561,-75.267189,"(43.083561, -75.267189)",36065,Oneida,360650217011003,"[-75.269711, 43.079652, -75.262671, 43.084165]",360650217011003,360650217021012
43.964928,-75.912827,"(43.964928, -75.912827)",36045,Jefferson,360450619003001,"[-75.916008, 43.963041, -75.91256, 43.966069]",360450619003001,360450622002001
43.986073,-75.595421,"(43.986073, -75.595421)",36045,Jefferson,360450609003006,"[-75.602109, 43.983903, -75.594861, 43.989672]",360450609003006,360450609004003
40.867531,-73.220222,"(40.867531, -73.220222)",36103,Suffolk,361031349064005,"[-73.232175, 40.858287, -73.212038, 40.874301]",,
44.936363,-74.907951,"(44.936363, -74.907951)",36089,St. Lawrence,360894902002019,"[-74.908399, 44.936289, -74.907841, 44.936757]",360894902002019,360894902002012
44.676151,-74.981529,"(44.676151, -74.981529)",36089,St. Lawrence,360894909003004,"[-74.984558, 44.676077, -74.981451, 44.678114]",360894909003004,360894909005000
44.343929,-74.144363,"(44.343929, -74.144363)",36033,Franklin,360339509001040,"[-74.144597, 44.342752, -74.141015, 44.344745]",360339509001040,360339509001030
43.795677,-75.498146,"(43.795677, -75.498146)",36049,Lewis,360499503004053,"[-75.501253, 43.791029, -75.495509, 43.795993]",360499503004053,360499503001031
40.668087,-73.978905,"(40.668087, -73.978905)",36047,Kings,360470153001001,"[-73.980569, 40.666963, -73.977717, 40.668705]",360470153001001,360470153001000
44.85677,-74.291893,"(44.85677, -74.291893)",36033,Franklin,360339505012011,"[-74.29228, 44.85599, -74.289664, 44.85766]",360339505012011,360339505012010
40.705085,-73.804245,"(40.705085, -73.804245)",36081,Queens,360810236002002,"[-73.806137, 40.704672, -73.803572, 40.706255]",360810236002002,360810240002001
40.654518,-73.945045,"(40.654518, -73.945045)",36047,Kings,360470816001001,"[-73.947159, 40.654339, -73.943209, 40.655829]",360470816001001,360470816001003
40.840431,-73.848244,"(40.840431, -73.848244)",36005,Bronx,360050204002000,"[-73.849613, 40.840216, -73.847798, 40.8416]",360050204002000,360050202001000
40.765381,-73.954185,"(40.765381, -73.954185)",36061,New York,360610124008000,"[-73.954701, 40.764647, -73.952039, 40.766165]",360610124008000,360610116001002
40.725853,-73.478714,"(40.725853, -73.478714)",36059,Nassau,360595202001006,"[-73.482664, 40.725532, -73.474891, 40.730076]",,
40.734127,-73.98307,"(40.734127, -73.98307)",36061,New York,360610048006001,"[-73.983549, 40.733242, -73.980711, 40.734846]",360610048006001,360610048007000
40.655823,-73.944099,"(40.655823, -73.944099)",36047,Kings,360470808001001,"[-73.947354, 40.655594, -73.939559, 40.657768]",360470808001001,360470816001001
40.732666,-73.981598,"(40.732666, -73.981598)",36061,New York,360610048005000,"[-73.983176, 40.732643, -73.981127, 40.733923]",360610048005000,360610048005001
40.880512,-73.881538,"(40.880512, -73.881538)",36005,Bronx,360050421001000,"[-73.881756, 40.87958, -73.878487, 40.88222]",360050421001000,360050421003001
41.717999,-74.727798,"(41.717999, -74.727798)",36105,Sullivan,361059515002017,"[-74.72914, 41.715244, -74.72693, 41.719535]",361059515002017,361059515002014
41.260586,-74.357185,"(41.260586, -74.357185)",36071,Orange,360710146001016,"[-74.359449, 41.26049, -74.356752, 41.262456]",360710146001016,360710146001003
41.112255,-74.133003,"(41.112255, -74.133003)",36087,Rockland,360870120001000,"[-74.137888, 41.107385, -74.126436, 41.112507]",360870120001000,360870116023027
40.755531,-73.815475,"(40.755531, -73.815475)",36081,Queens,360810861002005,"[-73.816159, 40.755432, -73.815339, 40.756129]",360810861002005,360811201001004
41.439953,-74.368744,"(41.439953, -74.368744)",36071,Orange,360710112001072,"[-74.37573, 41.439863, -74.364302, 41.444929]",360710112001072,360710112001074
41.503017,-74.015129,"(41.503017, -74.015129)",36071,Orange,360710004003008,"[-74.015229, 41.502386, -74.013319, 41.504326]",360710004003008,360710003005000
42.814011,-75.541962,"(42.814011, -75.541962)",36053,Madison,360530309002021,"[-75.549464, 42.812206, -75.541829, 42.817627]",360530309002021,360530309001034
42.541813,-75.524773,"(42.541813, -75.524773)",36017,Chenango,360179703005014,"[-75.527708, 42.539525, -75.524486, 42.544168]",360179703005014,360179704004004
42.115063,-75.959122,"(42.115063, -75.959122)",36007,Broome,360070139002002,"[-75.959276, 42.113026, -75.957917, 42.115856]",360070139002002,360070139002001
42.457405,-75.053261,"(42.457405, -75.053261)",36077,Otsego,360775909002019,"[-75.053754, 42.457336, -75.051479, 42.458573]",360775909002019,360775909002020
42.088062,-75.91423,"(42.088062, -75.91423)",36007,Broome,360070017005009,"[-75.915464, 42.083427, -75.913934, 42.089088]",360070017005009,360070017005010
42.092606,-75.935646,"(42.092606, -75.935646)",36007,Broome,360070015002009,"[-75.937851, 42.091118, -75.934201, 42.09308]",360070015002009,360070015003010
40.774471,-73.478264,"(40.774471, -73.478264)",36059,Nassau,360595197043008,"[-73.480521, 40.774048, -73.47695, 40.776719]",360595197043008,360595198024012
40.871731,-73.62159,"(40.871731, -73.62159)",36059,Nassau,360595173013010,"[-73.624172, 40.869452, -73.621123, 40.871802]",360595173013010,360595173013007
40.847294,-73.844658,"(40.847294, -73.844658)",36005,Bronx,360050284001010,"[-73.844796, 40.843214, -73.834885, 40.856333]",360050284001010,360050200002001
40.704517,-73.91774,"(40.704517, -73.91774)",36047,Kings,360470443004001,"[-73.918504, 40.703405, -73.916609, 40.704992]",360470443004001,360470445001002
40.853909,-73.891014,"(40.853909, -73.891014)",36005,Bronx,360050375041000,"[-73.893426, 40.851098, -73.889607, 40.854689]",360050375041000,360050385004004
40.841415,-73.940704,"(40.841415, -73.940704)",36061,New York,360610251001002,"[-73.943066, 40.83918, -73.939766, 40.842154]",360610251001002,360610251001001
42.695793,-74.922684,"(42.695793, -74.922684)",36077,Otsego,360775902022016,"[-74.924602, 42.694841, -74.922582, 42.696178]",360775902022016,360775902024035
40.741699,-73.643082,"(40.741699, -73.643082)",36059,Nassau,360593036005001,"[-73.645071, 40.739652, -73.639834, 40.742039]",360593036005001,360593036006002
40.909217,-73.115198,"(40.909217, -73.115198)",36103,Suffolk,361031580072003,"[-73.118695, 40.903617, -73.111522, 40.914229]",,
42.953758,-74.216194,"(42.953758, -74.216194)",36057,Montgomery,360570704001001,"[-74.221343, 42.952963, -74.214005, 42.957122]",360570704001001,360570704001022
42.68631,-74.482956,"(42.68631, -74.482956)",36095,Schoharie,360957402004010,"[-74.483467, 42.682167, -74.472268, 42.689666]",360957402004010,360957402004018
40.968262,-73.885033,"(40.968262, -73.885033)",36119,Westchester,361190007012002,"[-73.889889, 40.961047, -73.884518, 40.972239]",361190007012002,361190008011005
40.739605,-73.976509,"(40.739605, -73.976509)",36061,New York,360610062001002,"[-73.977148, 40.73801, -73.973705, 40.740644]",360610062001002,360610066008000
40.516773,-74.196808,"(40.516773, -74.196808)",36085,Richmond,360850198004043,"[-74.196996, 40.515928, -74.195002, 40.518289]",360850198004043,360850198003026
40.635807,-74.106674,"(40.635807, -74.106674)",36085,Richmond,360850067001011,"[-74.107101, 40.634663, -74.102526, 40.637702]",360850067001011,360850105001004
40.696751,-73.286324,"(40.696751, -73.286324)",36103,Suffolk,361031470012005,"[-73.286504, 40.690694, -73.277658, 40.69704]",361031470012005,361031470013035
40.710426,-74.005486,"(40.710426, -74.005486)",36061,New York,360610015011012,"[-74.005599, 40.70966, -74.004253, 40.710936]",360610015011012,360610015011008
40.784775,-73.94368,"(40.784775, -73.94368)",36061,New York,360610156021000,"[-73.946588, 40.783933, -73.943319, 40.786173]",360610156021000,360610162005011
40.584141,-74.086998,"(40.584141, -74.086998)",36085,Richmond,360850070001005,"[-74.088496, 40.57925, -74.071295, 40.59221]",,
40.646591,-74.020439,"(40.646591, -74.020439)",36047,Kings,360470022001001,"[-74.022622, 40.645733, -74.019836, 40.647621]",360470022001001,360470022001000
40.768269,-73.924461,"(40.768269, -73.924461)",36081,Queens,360810073001001,"[-73.925417, 40.767011, -73.92298, 40.768619]",360810073001001,360810071003001
40.736208,-74.000063,"(40.736208, -74.000063)",36061,New York,360610071003000,"[-74.001095, 40.735391, -73.997805, 40.73723]",360610071003000,360610071003001
43.454781,-76.516434,"(43.454781, -76.516434)",36075,Oswego,360750216013015,"[-76.517522, 43.452161, -76.515063, 43.454983]",360750216013015,360750216013014
43.042622,-76.138809,"(43.042622, -76.138809)",36067,Onondaga,360670043011001,"[-76.142435, 43.037507, -76.137847, 43.042709]",360670043011001,360670043021006
43.007816,-76.17025,"(43.007816, -76.17025)",36067,Onondaga,360670163006013,"[-76.170617, 43.003653, -76.159866, 43.011633]",360670163006013,360670163006010
43.055744,-76.149384,"(43.055744, -76.149384)",36067,Onondaga,360670023002005,"[-76.151476, 43.054021, -76.148073, 43.057375]",,
43.041107,-76.137932,"(43.041107, -76.137932)",36067,Onondaga,360670043011001,"[-76.142435, 43.037507, -76.137847, 43.042709]",360670043011001,360670043011000
43.315116,-76.406098,"(43.315116, -76.406098)",36075,Oswego,360750211021035,"[-76.40789, 43.313559, -76.404951, 43.316301]",360750211021035,360750211021037
40.747517,-73.826035,"(40.747517, -73.826035)",36081,Queens,360810799001004,"[-73.8262, 40.746089, -73.824198, 40.748311]",360810799001004,360810799001003
40.598637,-73.752769,"(40.598637, -73.752769)",36081,Queens,360810998013004,"[-73.754262, 40.597316, -73.752457, 40.599502]",360810998013004,360811010011005
44.700279,-73.466751,"(44.700279, -73.466751)",36019,Clinton,360191010002002,"[-73.474567, 44.700114, -73.466647, 44.707332]",360191010002002,360191010002006
40.690971,-73.99781,"(40.690971, -73.99781)",36047,Kings,360470049001000,"[-73.998087, 40.690104, -73.996233, 40.691188]",360470049001000,360470047001000
42.480774,-79.33387,"(42.480774, -79.33387)",36013,Chautauqua,360130356002020,"[-79.335462, 42.479314, -79.333425, 42.481348]",,
42.559372,-79.126991,"(42.559372, -79.126991)",36013,Chautauqua,360130351005007,"[-79.127829, 42.555657, -79.119317, 42.561111]",360130351005007,360130351004022
42.091236,-79.232872,"(42.091236, -79.232872)",36013,Chautauqua,360130306002009,"[-79.233071, 42.090491, -79.229272, 42.092335]",,
42.327965,-79.569412,"(42.327965, -79.569412)",36013,Chautauqua,360130365001081,"[-79.572966, 42.327314, -79.566945, 42.334029]",360130365001081,360130365004013
40.613419,-73.948967,"(40.613419, -73.948967)",36047,Kings,360470642002003,"[-73.949306, 40.613053, -73.948335, 40.614136]",,
40.594418,-73.651054,"(40.594418, -73.651054)",36059,Nassau,360594167011004,"[-73.652861, 40.594231, -73.649666, 40.59493]",360594167011004,360594167011005
40.681789,-73.685814,"(40.681789, -73.685814)",36059,Nassau,360594100003014,"[-73.690246, 40.679034, -73.684879, 40.682816]",360594100003014,360594100003007
40.742874,-73.974159,"(40.742874, -73.974159)",36061,New York,360610062001000,"[-73.975343, 40.740402, -73.972254, 40.743782]",360610062001000,360610070005000
40.77924,-73.702888,"(40.77924, -73.702888)",36059,Nassau,360593018002018,"[-73.703402, 40.771501, -73.688074, 40.780396]",,
40.7533,-73.7068,"(40.7533, -73.7068)",36081,Queens,360811551023006,"[-73.706889, 40.752143, -73.704579, 40.75385]",360811551023006,360811551023000
